Travel Queries Forecast Template,,,,,,,,,,,
,,,,,,,,,,,
INSTRUCTIONS:,,,,,,,,,,,
1. This template is designed to forecast travel queries for a market using the multi-factor approach,,,,,,,,,,,
2. Fill in the data in each of the input sheets (Historical Queries, Flight Searches, Media Impressions, Brand Health),,,,,,,,
3. Adjust the parameters in the Parameters sheet if needed,,,,,,,,,,,
4. The forecast will automatically calculate based on the input data and parameters,,,,,,,,,,,
,,,,,,,,,,,
====================,,,,,,,,,,,
HISTORICAL QUERIES,,,,,,,,,,,
====================,,,,,,,,,,,
Month,Year,Indexed Queries,,,,,,,,,
January,2020,29.17591499,,,,,,,,,
January,2021,35.35360094,,,,,,,,,
January,2022,67.60979929,,,,,,,,,
January,2023,88.78984652,,,,,,,,,
January,2024,118.2219599,,,,,,,,,
January,2025,142.9232586,,,,,,,,,
February,2020,66.23671783,,,,,,,,,
February,2021,26.74144038,,,,,,,,,
February,2022,52.14876033,,,,,,,,,
February,2023,84.38193625,,,,,,,,,
February,2024,123.2072019,,,,,,,,,
March,2020,31.69775679,,,,,,,,,
March,2021,26.4433294,,,,,,,,,
March,2022,64.38488784,,,,,,,,,
March,2023,98.35242031,,,,,,,,,
March,2024,113.0767414,,,,,,,,,
April,2020,17.38429752,,,,,,,,,
April,2021,24.63931523,,,,,,,,,
April,2022,67.95808737,,,,,,,,,
April,2023,89.1162928,,,,,,,,,
April,2024,123.2650531,,,,,,,,,
May,2020,16.27154664,,,,,,,,,
May,2021,23.2136954,,,,,,,,,
May,2022,75.54250295,,,,,,,,,
May,2023,102.2774498,,,,,,,,,
May,2024,116.7668241,,,,,,,,,
June,2020,15.89256198,,,,,,,,,
June,2021,26.33175915,,,,,,,,,
June,2022,76.00649351,,,,,,,,,
June,2023,86.40909091,,,,,,,,,
June,2024,97.47461629,,,,,,,,,
July,2020,23.03305785,,,,,,,,,
July,2021,29.12868949,,,,,,,,,
July,2022,80.85242031,,,,,,,,,
July,2023,100.7066116,,,,,,,,,
July,2024,111.4929162,,,,,,,,,
August,2020,36.89964581,,,,,,,,,
August,2021,62.22195986,,,,,,,,,
August,2022,92.98051948,,,,,,,,,
August,2023,111.8571429,,,,,,,,,
August,2024,124.0743802,,,,,,,,,
September,2020,27.27272727,,,,,,,,,
September,2021,66.10920897,,,,,,,,,
September,2022,95.09386068,,,,,,,,,
September,2023,123.9586777,,,,,,,,,
September,2024,180.1942149,,,,,,,,,
October,2020,26.25855962,,,,,,,,,
October,2021,67.44273908,,,,,,,,,
October,2022,90.55726092,,,,,,,,,
October,2023,122.8701299,,,,,,,,,
October,2024,149.0371901,,,,,,,,,
November,2020,24.81523022,,,,,,,,,
November,2021,66.98288076,,,,,,,,,
November,2022,85.85773318,,,,,,,,,
November,2023,113.4220779,,,,,,,,,
November,2024,142.7998819,,,,,,,,,
December,2020,28.82054309,,,,,,,,,
December,2021,64.06139315,,,,,,,,,
December,2022,85.89433294,,,,,,,,,
December,2023,116.7674144,,,,,,,,,
December,2024,142.053719,,,,,,,,,
,,,,,,,,,,,
====================,,,,,,,,,,,
FLIGHT SEARCHES,,,,,,,,,,,
====================,,,,,,,,,,,
Month,Year,Flight Searches,,,,,,,,,
January,2023,7707,,,,,,,,,
January,2024,11700,,,,,,,,,
February,2023,7947,,,,,,,,,
February,2024,13476,,,,,,,,,
March,2023,8353,,,,,,,,,
March,2024,11662,,,,,,,,,
April,2023,10034,,,,,,,,,
April,2024,11380,,,,,,,,,
May,2023,7985,,,,,,,,,
May,2024,8643,,,,,,,,,
June,2023,6792,,,,,,,,,
June,2024,5710,,,,,,,,,
July,2023,7734,,,,,,,,,
July,2024,11015,,,,,,,,,
August,2023,10988,,,,,,,,,
August,2024,13394,,,,,,,,,
September,2023,13754,,,,,,,,,
September,2024,29299,,,,,,,,,
October,2023,11628,,,,,,,,,
October,2024,23876,,,,,,,,,
November,2023,7814,,,,,,,,,
November,2024,14708,,,,,,,,,
December,2023,8737,,,,,,,,,
December,2024,14592,,,,,,,,,
,,,,,,,,,,,
====================,,,,,,,,,,,
MEDIA IMPRESSIONS,,,,,,,,,,,
====================,,,,,,,,,,,
Month,2023 Impressions,2024 Impressions,2025 Planned Impressions,,,,,,,,
January,"225,064,010","420,282,730","308,059,995",,,,,,,,
February,"403,344,845","291,565,408","2,131,473,746",,,,,,,,
March,"338,559,903","205,187,085","1,117,210,447",,,,,,,,
April,"239,887,318","772,503,957","1,392,363,112",,,,,,,,
May,"406,111,050","459,406,878","1,401,655,407",,,,,,,,
June,"204,733,895","978,934,373","834,194,144",,,,,,,,
July,"380,375,170","450,168,160","756,077,983",,,,,,,,
August,"267,846,428","169,328,374","756,077,983",,,,,,,,
September,"196,644,227","550,180,959","1,348,533,349",,,,,,,,
October,"266,535,943","681,147,480","1,900,038,690",,,,,,,,
November,"529,462,903","1,248,883,902","1,322,237,773",,,,,,,,
December,"1,046,401,180","483,802,089","1,970,481,360",,,,,,,,
,,,,,,,,,,,
====================,,,,,,,,,,,
BRAND HEALTH,,,,,,,,,,,
====================,,,,,,,,,,,
Quarter,Awareness,Consideration,Intent,,,,,,,,
Q4 2023,94.00%,74.34%,63.00%,,,,,,,,
Q1 2024,93.77%,73.65%,63.00%,,,,,,,,
Q2 2024,94.60%,75.00%,63.20%,,,,,,,,
Q3 2024,93.80%,71.70%,63.00%,,,,,,,,
Q4 2024,94.50%,74.36%,64.60%,,,,,,,,
Q1 2025 (Target),94.50%,29.50%,64.70%,,,,,,,,
Q2 2025 (Target),94.50%,29.90%,64.80%,,,,,,,,
Q3 2025 (Target),94.50%,30.20%,64.90%,,,,,,,,
Q4 2025 (Target),94.50%,31.00%,65.17%,,,,,,,,
,,,,,,,,,,,
====================,,,,,,,,,,,
HOTEL GUESTS,,,,,,,,,,,
====================,,,,,,,,,,,
Month,Year,Hotel Guests,,,,,,,,,
January,2023,20767,,,,,,,,,
January,2024,26842,,,,,,,,,
February,2023,17068,,,,,,,,,
February,2024,25715,,,,,,,,,
March,2023,20158,,,,,,,,,
March,2024,30133,,,,,,,,,
April,2023,18539,,,,,,,,,
April,2024,26636,,,,,,,,,
May,2023,25712,,,,,,,,,
May,2024,32950,,,,,,,,,
June,2023,19863,,,,,,,,,
June,2024,25710,,,,,,,,,
July,2023,13631,,,,,,,,,
July,2024,22137,,,,,,,,,
August,2023,13193,,,,,,,,,
August,2024,17221,,,,,,,,,
September,2023,19398,,,,,,,,,
September,2024,26383,,,,,,,,,
October,2023,23691,,,,,,,,,
October,2024,36480,,,,,,,,,
November,2023,27533,,,,,,,,,
November,2024,43636,,,,,,,,,
December,2023,31383,,,,,,,,,
December,2024,43813,,,,,,,,,
,,,,,,,,,,,
====================,,,,,,,,,,,
PARAMETERS,,,,,,,,,,,
====================,,,,,,,,,,,
Parameter,Conservative,Moderate,Ambitious,Notes,,,,,,,
Base Growth Factor,,,,"Aligned with Armenia model (5%, 10%, 15%) but adjusted downward for UK market maturity",,,,,,,
Brand Awareness Target,,,,Target brand awareness for Q4 2025,,,,,,,
Brand Consideration Target,,,,Target brand consideration for Q4 2025,,,,,,,
Media Effectiveness Multiplier,,,,"Reduced from Armenia model (0.10, 0.15, 0.20) to account for UK market maturity",,,,,,,
Flight Search Correlation,,,,"Significantly reduced from Armenia model (0.05, 0.10, 0.15) to temper the impact of high flight search growth",,,,,,,
Brand Health Coefficient,,,,"Reduced from Armenia model (0.15, 0.20, 0.25) due to already high brand health metrics in UK",,,,,,,
,,,,,,,,,,,
====================,,,,,,,,,,,
SEASONALITY INDEX,,,,,,,,,,,
====================,,,,,,,,,,,
Month,Seasonality Index,Notes,,,,,,,,,
January,,Derived from 2023-2024 monthly distribution patterns,,,,,,,,,
February,,Derived from 2023-2024 monthly distribution patterns,,,,,,,,,
March,,Derived from 2023-2024 monthly distribution patterns,,,,,,,,,
April,,Derived from 2023-2024 monthly distribution patterns,,,,,,,,,
May,,Derived from 2023-2024 monthly distribution patterns,,,,,,,,,
June,,Derived from 2023-2024 monthly distribution patterns,,,,,,,,,
July,,Derived from 2023-2024 monthly distribution patterns,,,,,,,,,
August,,Derived from 2023-2024 monthly distribution patterns,,,,,,,,,
September,,Derived from 2023-2024 monthly distribution patterns,,,,,,,,,
October,,Derived from 2023-2024 monthly distribution patterns,,,,,,,,,
November,,Derived from 2023-2024 monthly distribution patterns,,,,,,,,,
December,,Derived from 2023-2024 monthly distribution patterns,,,,,,,,,
,,,,,,,,,,,
====================,,,,,,,,,,,
FORECAST CALCULATIONS,,,,,,,,,,,
====================,,,,,,,,,,,
Month,2024 Queries,Seasonality Index,Media Multiplier,Flight Search Factor,Brand Health Multiplier,Conservative Forecast,Moderate Forecast,Ambitious Forecast,,,
January,,,,,,,,,,,
February,,,,,,,,,,,
March,,,,,,,,,,,
April,,,,,,,,,,,
May,,,,,,,,,,,
June,,,,,,,,,,,
July,,,,,,,,,,,
August,,,,,,,,,,,
September,,,,,,,,,,,
October,,,,,,,,,,,
November,,,,,,,,,,,
December,,,,,,,,,,,
,,,,,,,,,,,
====================,,,,,,,,,,,
FORECAST RESULTS,,,,,,,,,,,
====================,,,,,,,,,,,
Month,2024 Queries,Conservative,Moderate,Ambitious,Conservative YoY,Moderate YoY,Ambitious YoY,,,,
January,,,,,,,,,,,
February,,,,,,,,,,,
March,,,,,,,,,,,
April,,,,,,,,,,,
May,,,,,,,,,,,
June,,,,,,,,,,,
July,,,,,,,,,,,
August,,,,,,,,,,,
September,,,,,,,,,,,
October,,,,,,,,,,,
November,,,,,,,,,,,
December,,,,,,,,,,,
Average,,,,,,,,,,,